Nro,Año,Período,Código Encuesta,Encuesta,Código Módulo,Módulo,Ficha,Descargar,Descargar.1,Descargar.2,VerPreguntas,VerFicha,SPSS,STATA,CSV
29,2007,55,283,Condiciones de Vida y Pobreza - ENAHO,85,"Gobernabilidad, Democracia y Transparencia",,,,,"javascript:VerPreguntas('283','85','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Gobernabilidad%2C+Democracia+y+Transparencia')","javascript:VerFicha('283','85')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/283-Modulo85.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/283-Modulo85.zip,
1,2008,55,284,Condiciones de Vida y Pobreza - ENAHO,1,Características de la Vivienda y del Hogar,,,,,"javascript:VerPreguntas('284','01','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Caracter%EDsticas+de+la+Vivienda+y+del+Hogar')","javascript:VerFicha('284','01')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/284-Modulo01.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/284-Modulo01.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/284-Modulo01.zip
2,2008,55,284,Condiciones de Vida y Pobreza - ENAHO,2,Características de los Miembros del Hogar,,,,,"javascript:VerPreguntas('284','02','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Caracter%EDsticas+de+los+Miembros+del+Hogar')","javascript:VerFicha('284','02')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/284-Modulo02.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/284-Modulo02.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/284-Modulo02.zip
3,2008,55,284,Condiciones de Vida y Pobreza - ENAHO,3,Educación,,,,,"javascript:VerPreguntas('284','03','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Educaci%F3n')","javascript:VerFicha('284','03')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/284-Modulo03.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/284-Modulo03.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/284-Modulo03.zip
4,2008,55,284,Condiciones de Vida y Pobreza - ENAHO,4,Salud,,,,,"javascript:VerPreguntas('284','04','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Salud')","javascript:VerFicha('284','04')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/284-Modulo04.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/284-Modulo04.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/284-Modulo04.zip
5,2008,55,284,Condiciones de Vida y Pobreza - ENAHO,5,Empleo e Ingresos,,,,,"javascript:VerPreguntas('284','05','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Empleo+e+Ingresos')","javascript:VerFicha('284','05')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/284-Modulo05.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/284-Modulo05.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/284-Modulo05.zip
6,2008,55,284,Condiciones de Vida y Pobreza - ENAHO,7,Gastos en Alimentos y Bebidas (Módulo 601),,,,,"javascript:VerPreguntas('284','07','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Gastos+en+Alimentos+y+Bebidas+%28M%F3dulo+601%29')","javascript:VerFicha('284','07')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/284-Modulo07.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/284-Modulo07.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/284-Modulo07.zip
7,2008,55,284,Condiciones de Vida y Pobreza - ENAHO,8,Instituciones Beneficas,,,,,"javascript:VerPreguntas('284','08','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Instituciones+Beneficas')","javascript:VerFicha('284','08')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/284-Modulo08.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/284-Modulo08.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/284-Modulo08.zip
8,2008,55,284,Condiciones de Vida y Pobreza - ENAHO,9,Mantenimiento de la Vivienda,,,,,"javascript:VerPreguntas('284','09','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Mantenimiento+de+la+Vivienda')","javascript:VerFicha('284','09')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/284-Modulo09.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/284-Modulo09.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/284-Modulo09.zip
9,2008,55,284,Condiciones de Vida y Pobreza - ENAHO,10,Transportes y Comunicaciones,,,,,"javascript:VerPreguntas('284','10','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Transportes+y+Comunicaciones')","javascript:VerFicha('284','10')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/284-Modulo10.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/284-Modulo10.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/284-Modulo10.zip
10,2008,55,284,Condiciones de Vida y Pobreza - ENAHO,11,Servicios a la Vivienda,,,,,"javascript:VerPreguntas('284','11','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Servicios+a+la+Vivienda')","javascript:VerFicha('284','11')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/284-Modulo11.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/284-Modulo11.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/284-Modulo11.zip
11,2008,55,284,Condiciones de Vida y Pobreza - ENAHO,12,"Esparcimiento , Diversion y Servicios de Cultura",,,,,"javascript:VerPreguntas('284','12','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Esparcimiento+%2C+Diversion+y+Servicios+de+Cultura')","javascript:VerFicha('284','12')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/284-Modulo12.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/284-Modulo12.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/284-Modulo12.zip
12,2008,55,284,Condiciones de Vida y Pobreza - ENAHO,13,Vestido y Calzado,,,,,"javascript:VerPreguntas('284','13','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Vestido+y+Calzado')","javascript:VerFicha('284','13')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/284-Modulo13.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/284-Modulo13.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/284-Modulo13.zip
13,2008,55,284,Condiciones de Vida y Pobreza - ENAHO,15,Gastos de Transferencias,,,,,"javascript:VerPreguntas('284','15','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Gastos+de+Transferencias')","javascript:VerFicha('284','15')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/284-Modulo15.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/284-Modulo15.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/284-Modulo15.zip
14,2008,55,284,Condiciones de Vida y Pobreza - ENAHO,16,Muebles y Enseres,,,,,"javascript:VerPreguntas('284','16','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Muebles+y+Enseres')","javascript:VerFicha('284','16')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/284-Modulo16.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/284-Modulo16.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/284-Modulo16.zip
15,2008,55,284,Condiciones de Vida y Pobreza - ENAHO,17,Otros Bienes y Servicios,,,,,"javascript:VerPreguntas('284','17','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Otros+Bienes+y+Servicios')","javascript:VerFicha('284','17')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/284-Modulo17.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/284-Modulo17.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/284-Modulo17.zip
16,2008,55,284,Condiciones de Vida y Pobreza - ENAHO,18,Equipamiento del Hogar,,,,,"javascript:VerPreguntas('284','18','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Equipamiento+del+Hogar')","javascript:VerFicha('284','18')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/284-Modulo18.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/284-Modulo18.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/284-Modulo18.zip
17,2008,55,284,Condiciones de Vida y Pobreza - ENAHO,22,Producción Agrícola,,,,,"javascript:VerPreguntas('284','22','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Producci%F3n+Agr%EDcola')","javascript:VerFicha('284','22')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/284-Modulo22.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/284-Modulo22.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/284-Modulo22.zip
18,2008,55,284,Condiciones de Vida y Pobreza - ENAHO,23,Subproductos Agricolas,,,,,"javascript:VerPreguntas('284','23','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Subproductos+Agricolas')","javascript:VerFicha('284','23')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/284-Modulo23.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/284-Modulo23.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/284-Modulo23.zip
19,2008,55,284,Condiciones de Vida y Pobreza - ENAHO,24,Producción Forestal,,,,,"javascript:VerPreguntas('284','24','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Producci%F3n+Forestal')","javascript:VerFicha('284','24')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/284-Modulo24.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/284-Modulo24.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/284-Modulo24.zip
20,2008,55,284,Condiciones de Vida y Pobreza - ENAHO,25,Gastos en Actividades Agricolas y/o Forestales,,,,,"javascript:VerPreguntas('284','25','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Gastos+en+Actividades+Agricolas+y%2Fo+Forestales')","javascript:VerFicha('284','25')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/284-Modulo25.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/284-Modulo25.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/284-Modulo25.zip
21,2008,55,284,Condiciones de Vida y Pobreza - ENAHO,26,Producción Pecuaria,,,,,"javascript:VerPreguntas('284','26','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Producci%F3n+Pecuaria')","javascript:VerFicha('284','26')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/284-Modulo26.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/284-Modulo26.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/284-Modulo26.zip
22,2008,55,284,Condiciones de Vida y Pobreza - ENAHO,27,Subproductos Pecuarios,,,,,"javascript:VerPreguntas('284','27','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Subproductos+Pecuarios')","javascript:VerFicha('284','27')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/284-Modulo27.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/284-Modulo27.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/284-Modulo27.zip
23,2008,55,284,Condiciones de Vida y Pobreza - ENAHO,28,Gastos en Actividades Pecuarias,,,,,"javascript:VerPreguntas('284','28','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Gastos+en+Actividades+Pecuarias')","javascript:VerFicha('284','28')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/284-Modulo28.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/284-Modulo28.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/284-Modulo28.zip
24,2008,55,284,Condiciones de Vida y Pobreza - ENAHO,34,Sumarias ( Variables Calculadas ),,,,,"javascript:VerPreguntas('284','34','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Sumarias+%28+Variables+Calculadas+%29')","javascript:VerFicha('284','34')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/284-Modulo34.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/284-Modulo34.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/284-Modulo34.zip
25,2008,55,284,Condiciones de Vida y Pobreza - ENAHO,37,Programas Sociales (Miembros del Hogar),,,,,"javascript:VerPreguntas('284','37','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Programas+Sociales++%28Miembros+del+Hogar%29')","javascript:VerFicha('284','37')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/284-Modulo37.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/284-Modulo37.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/284-Modulo37.zip
26,2008,55,284,Condiciones de Vida y Pobreza - ENAHO,77,Ingresos del Trabajador Independiente,,,,,"javascript:VerPreguntas('284','77','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Ingresos+del+Trabajador+Independiente')","javascript:VerFicha('284','77')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/284-Modulo77.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/284-Modulo77.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/284-Modulo77.zip
27,2008,55,284,Condiciones de Vida y Pobreza - ENAHO,78,Bienes y Servicios de Cuidados Personales,,,,,"javascript:VerPreguntas('284','78','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Bienes+y+Servicios+de+Cuidados+Personales')","javascript:VerFicha('284','78')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/284-Modulo78.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/284-Modulo78.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/284-Modulo78.zip
28,2008,55,284,Condiciones de Vida y Pobreza - ENAHO,84,Participación Ciudadana,,,,,"javascript:VerPreguntas('284','84','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Participaci%F3n+Ciudadana')","javascript:VerFicha('284','84')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/284-Modulo84.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/284-Modulo84.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/284-Modulo84.zip
29,2008,55,284,Condiciones de Vida y Pobreza - ENAHO,85,"Gobernabilidad, Democracia y Transparencia",,,,,"javascript:VerPreguntas('284','85','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Gobernabilidad%2C+Democracia+y+Transparencia')","javascript:VerFicha('284','85')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/284-Modulo85.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/284-Modulo85.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/284-Modulo85.zip
30,2008,55,284,Condiciones de Vida y Pobreza - ENAHO,124,Indicadores Nutricionales – CENAN,,,,,"javascript:VerPreguntas('284','124','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Indicadores+Nutricionales+%96+CENAN')","javascript:VerFicha('284','124')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/284-Modulo124.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/284-Modulo124.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/284-Modulo124.zip
1,2009,55,285,Condiciones de Vida y Pobreza - ENAHO,1,Características de la Vivienda y del Hogar,,,,,"javascript:VerPreguntas('285','01','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Caracter%EDsticas+de+la+Vivienda+y+del+Hogar')","javascript:VerFicha('285','01')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/285-Modulo01.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/285-Modulo01.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/285-Modulo01.zip
2,2009,55,285,Condiciones de Vida y Pobreza - ENAHO,2,Características de los Miembros del Hogar,,,,,"javascript:VerPreguntas('285','02','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Caracter%EDsticas+de+los+Miembros+del+Hogar')","javascript:VerFicha('285','02')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/285-Modulo02.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/285-Modulo02.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/285-Modulo02.zip
3,2009,55,285,Condiciones de Vida y Pobreza - ENAHO,3,Educación,,,,,"javascript:VerPreguntas('285','03','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Educaci%F3n')","javascript:VerFicha('285','03')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/285-Modulo03.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/285-Modulo03.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/285-Modulo03.zip
4,2009,55,285,Condiciones de Vida y Pobreza - ENAHO,4,Salud,,,,,"javascript:VerPreguntas('285','04','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Salud')","javascript:VerFicha('285','04')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/285-Modulo04.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/285-Modulo04.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/285-Modulo04.zip
5,2009,55,285,Condiciones de Vida y Pobreza - ENAHO,5,Empleo e Ingresos,,,,,"javascript:VerPreguntas('285','05','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Empleo+e+Ingresos')","javascript:VerFicha('285','05')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/285-Modulo05.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/285-Modulo05.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/285-Modulo05.zip
6,2009,55,285,Condiciones de Vida y Pobreza - ENAHO,7,Gastos en Alimentos y Bebidas (Módulo 601),,,,,"javascript:VerPreguntas('285','07','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Gastos+en+Alimentos+y+Bebidas+%28M%F3dulo+601%29')","javascript:VerFicha('285','07')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/285-Modulo07.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/285-Modulo07.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/285-Modulo07.zip
7,2009,55,285,Condiciones de Vida y Pobreza - ENAHO,8,Instituciones Beneficas,,,,,"javascript:VerPreguntas('285','08','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Instituciones+Beneficas')","javascript:VerFicha('285','08')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/285-Modulo08.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/285-Modulo08.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/285-Modulo08.zip
8,2009,55,285,Condiciones de Vida y Pobreza - ENAHO,9,Mantenimiento de la Vivienda,,,,,"javascript:VerPreguntas('285','09','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Mantenimiento+de+la+Vivienda')","javascript:VerFicha('285','09')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/285-Modulo09.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/285-Modulo09.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/285-Modulo09.zip
9,2009,55,285,Condiciones de Vida y Pobreza - ENAHO,10,Transportes y Comunicaciones,,,,,"javascript:VerPreguntas('285','10','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Transportes+y+Comunicaciones')","javascript:VerFicha('285','10')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/285-Modulo10.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/285-Modulo10.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/285-Modulo10.zip
10,2009,55,285,Condiciones de Vida y Pobreza - ENAHO,11,Servicios a la Vivienda,,,,,"javascript:VerPreguntas('285','11','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Servicios+a+la+Vivienda')","javascript:VerFicha('285','11')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/285-Modulo11.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/285-Modulo11.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/285-Modulo11.zip
11,2009,55,285,Condiciones de Vida y Pobreza - ENAHO,12,"Esparcimiento , Diversion y Servicios de Cultura",,,,,"javascript:VerPreguntas('285','12','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Esparcimiento+%2C+Diversion+y+Servicios+de+Cultura')","javascript:VerFicha('285','12')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/285-Modulo12.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/285-Modulo12.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/285-Modulo12.zip
12,2009,55,285,Condiciones de Vida y Pobreza - ENAHO,13,Vestido y Calzado,,,,,"javascript:VerPreguntas('285','13','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Vestido+y+Calzado')","javascript:VerFicha('285','13')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/285-Modulo13.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/285-Modulo13.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/285-Modulo13.zip
13,2009,55,285,Condiciones de Vida y Pobreza - ENAHO,15,Gastos de Transferencias,,,,,"javascript:VerPreguntas('285','15','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Gastos+de+Transferencias')","javascript:VerFicha('285','15')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/285-Modulo15.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/285-Modulo15.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/285-Modulo15.zip
14,2009,55,285,Condiciones de Vida y Pobreza - ENAHO,16,Muebles y Enseres,,,,,"javascript:VerPreguntas('285','16','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Muebles+y+Enseres')","javascript:VerFicha('285','16')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/285-Modulo16.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/285-Modulo16.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/285-Modulo16.zip
15,2009,55,285,Condiciones de Vida y Pobreza - ENAHO,17,Otros Bienes y Servicios,,,,,"javascript:VerPreguntas('285','17','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Otros+Bienes+y+Servicios')","javascript:VerFicha('285','17')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/285-Modulo17.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/285-Modulo17.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/285-Modulo17.zip
16,2009,55,285,Condiciones de Vida y Pobreza - ENAHO,18,Equipamiento del Hogar,,,,,"javascript:VerPreguntas('285','18','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Equipamiento+del+Hogar')","javascript:VerFicha('285','18')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/285-Modulo18.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/285-Modulo18.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/285-Modulo18.zip
17,2009,55,285,Condiciones de Vida y Pobreza - ENAHO,22,Producción Agrícola,,,,,"javascript:VerPreguntas('285','22','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Producci%F3n+Agr%EDcola')","javascript:VerFicha('285','22')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/285-Modulo22.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/285-Modulo22.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/285-Modulo22.zip
18,2009,55,285,Condiciones de Vida y Pobreza - ENAHO,23,Subproductos Agricolas,,,,,"javascript:VerPreguntas('285','23','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Subproductos+Agricolas')","javascript:VerFicha('285','23')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/285-Modulo23.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/285-Modulo23.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/285-Modulo23.zip
19,2009,55,285,Condiciones de Vida y Pobreza - ENAHO,24,Producción Forestal,,,,,"javascript:VerPreguntas('285','24','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Producci%F3n+Forestal')","javascript:VerFicha('285','24')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/285-Modulo24.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/285-Modulo24.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/285-Modulo24.zip
20,2009,55,285,Condiciones de Vida y Pobreza - ENAHO,25,Gastos en Actividades Agricolas y/o Forestales,,,,,"javascript:VerPreguntas('285','25','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Gastos+en+Actividades+Agricolas+y%2Fo+Forestales')","javascript:VerFicha('285','25')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/285-Modulo25.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/285-Modulo25.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/285-Modulo25.zip
21,2009,55,285,Condiciones de Vida y Pobreza - ENAHO,26,Producción Pecuaria,,,,,"javascript:VerPreguntas('285','26','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Producci%F3n+Pecuaria')","javascript:VerFicha('285','26')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/285-Modulo26.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/285-Modulo26.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/285-Modulo26.zip
