,Nro,Año,Período,Código Encuesta,Encuesta,Código Módulo,Módulo,Ficha,Descargar,Descargar.1,Descargar.2,VerPreguntas,VerFicha,SPSS,DBF,CSV
18,19,2011,18,293,Encuesta Nacional de Programas Presupuestales - ENAPRES,151,Tecnología Pecuaria,,,,,"javascript:VerPreguntas('293','151','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','Tecnolog%EDa+Pecuaria')","javascript:VerFicha('293','151')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/293-Modulo151.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/293-Modulo151.zip,
19,20,2011,18,293,Encuesta Nacional de Programas Presupuestales - ENAPRES,152,Inocuidad,,,,,"javascript:VerPreguntas('293','152','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','Inocuidad')","javascript:VerFicha('293','152')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/293-Modulo152.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/293-Modulo152.zip,
20,21,2011,18,293,Encuesta Nacional de Programas Presupuestales - ENAPRES,153,Servicios de Extensión Agraria,,,,,"javascript:VerPreguntas('293','153','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','Servicios+de+Extensi%F3n+Agraria')","javascript:VerFicha('293','153')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/293-Modulo153.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/293-Modulo153.zip,
21,22,2011,18,293,Encuesta Nacional de Programas Presupuestales - ENAPRES,154,Financiamiento,,,,,"javascript:VerPreguntas('293','154','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','Financiamiento')","javascript:VerFicha('293','154')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/293-Modulo154.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/293-Modulo154.zip,
22,23,2011,18,293,Encuesta Nacional de Programas Presupuestales - ENAPRES,155,Costos de Producción de la Actividad Agropecuaria,,,,,"javascript:VerPreguntas('293','155','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','Costos+de+Producci%F3n+de+la+Actividad+Agropecuaria')","javascript:VerFicha('293','155')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/293-Modulo155.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/293-Modulo155.zip,
0,1,2012,18,325,Encuesta Nacional de Programas Presupuestales - ENAPRES,169,Características de la Vivienda y del Hogar - Urbano y Rural,,,,,"javascript:VerPreguntas('325','169','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','Caracter%EDsticas+de+la+Vivienda+y+del+Hogar+%2D+Urbano+y+Rural')","javascript:VerFicha('325','169')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/325-Modulo169.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/325-Modulo169.zip,
1,2,2012,18,325,Encuesta Nacional de Programas Presupuestales - ENAPRES,170,Características de los Residentes habituales del Hogar - Urbano y Rural,,,,,"javascript:VerPreguntas('325','170','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','Caracter%EDsticas+de+los+Residentes+habituales+del+Hogar+%2D+Urbano+y+Rural')","javascript:VerFicha('325','170')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/325-Modulo170.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/325-Modulo170.zip,
2,3,2012,18,325,Encuesta Nacional de Programas Presupuestales - ENAPRES,171,Servicios Educativos Básicos - Urbano y Rural,,,,,"javascript:VerPreguntas('325','171','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','Servicios+Educativos+B%E1sicos+%2D+Urbano+y+Rural')","javascript:VerFicha('325','171')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/325-Modulo171.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/325-Modulo171.zip,
3,4,2012,18,325,Encuesta Nacional de Programas Presupuestales - ENAPRES,172,Telecomunicación Rural,,,,,"javascript:VerPreguntas('325','172','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','Telecomunicaci%F3n+Rural')","javascript:VerFicha('325','172')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/325-Modulo172.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/325-Modulo172.zip,
4,5,2012,18,325,Encuesta Nacional de Programas Presupuestales - ENAPRES,173,Seguridad Ciudadana - Urbano,,,,,"javascript:VerPreguntas('325','173','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','Seguridad+Ciudadana+%2D+Urbano')","javascript:VerFicha('325','173')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/325-Modulo173.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/325-Modulo173.zip,
5,6,2012,18,325,Encuesta Nacional de Programas Presupuestales - ENAPRES,174,Empleo - Urbano y Rural,,,,,"javascript:VerPreguntas('325','174','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','Empleo+%2D+Urbano+y+Rural')","javascript:VerFicha('325','174')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/325-Modulo174.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/325-Modulo174.zip,
6,7,2012,18,325,Encuesta Nacional de Programas Presupuestales - ENAPRES,175,Características de la Actividad y explotación agropecuaria 1,,,,,"javascript:VerPreguntas('325','175','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','Caracter%EDsticas+de+la+Actividad+y+explotaci%F3n+agropecuaria+1')","javascript:VerFicha('325','175')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/325-Modulo175.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/325-Modulo175.zip,
7,8,2012,18,325,Encuesta Nacional de Programas Presupuestales - ENAPRES,176,Características de la Actividad y explotación agropecuaria 2,,,,,"javascript:VerPreguntas('325','176','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','Caracter%EDsticas+de+la+Actividad+y+explotaci%F3n+agropecuaria+2')","javascript:VerFicha('325','176')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/325-Modulo176.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/325-Modulo176.zip,
8,9,2012,18,325,Encuesta Nacional de Programas Presupuestales - ENAPRES,177,Superficie Sembrada y Cosechada de los Cultivos,,,,,"javascript:VerPreguntas('325','177','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','Superficie+Sembrada+y+Cosechada+de+los+Cultivos')","javascript:VerFicha('325','177')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/325-Modulo177.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/325-Modulo177.zip,
9,10,2012,18,325,Encuesta Nacional de Programas Presupuestales - ENAPRES,178,Características de los Cultivos Cosechados,,,,,"javascript:VerPreguntas('325','178','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','Caracter%EDsticas+de+los+Cultivos+Cosechados')","javascript:VerFicha('325','178')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/325-Modulo178.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/325-Modulo178.zip,
10,11,2012,18,325,Encuesta Nacional de Programas Presupuestales - ENAPRES,179,Producción y Destino de los Cultivos Cosechados,,,,,"javascript:VerPreguntas('325','179','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','Producci%F3n+y+Destino+de+los+Cultivos+Cosechados')","javascript:VerFicha('325','179')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/325-Modulo179.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/325-Modulo179.zip,
11,12,2012,18,325,Encuesta Nacional de Programas Presupuestales - ENAPRES,180,SubProductos Agricolas,,,,,"javascript:VerPreguntas('325','180','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','SubProductos+Agricolas')","javascript:VerFicha('325','180')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/325-Modulo180.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/325-Modulo180.zip,
12,13,2012,18,325,Encuesta Nacional de Programas Presupuestales - ENAPRES,181,Buenas Prácticas Agricolas,,,,,"javascript:VerPreguntas('325','181','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','Buenas+Pr%E1cticas+Agricolas')","javascript:VerFicha('325','181')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/325-Modulo181.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/325-Modulo181.zip,
13,14,2012,18,325,Encuesta Nacional de Programas Presupuestales - ENAPRES,182,Producción de la Actividad Pecuaria 1,,,,,"javascript:VerPreguntas('325','182','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','Producci%F3n+de+la+Actividad+Pecuaria+1')","javascript:VerFicha('325','182')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/325-Modulo182.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/325-Modulo182.zip,
14,15,2012,18,325,Encuesta Nacional de Programas Presupuestales - ENAPRES,183,Producción de la Actividad Pecuaria 2,,,,,"javascript:VerPreguntas('325','183','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','Producci%F3n+de+la+Actividad+Pecuaria+2')","javascript:VerFicha('325','183')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/325-Modulo183.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/325-Modulo183.zip,
15,16,2012,18,325,Encuesta Nacional de Programas Presupuestales - ENAPRES,184,SubProductos Pecuarios,,,,,"javascript:VerPreguntas('325','184','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','SubProductos+Pecuarios')","javascript:VerFicha('325','184')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/325-Modulo184.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/325-Modulo184.zip,
16,17,2012,18,325,Encuesta Nacional de Programas Presupuestales - ENAPRES,185,Buenas Prácticas Pecuarias,,,,,"javascript:VerPreguntas('325','185','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','Buenas+Pr%E1cticas+Pecuarias')","javascript:VerFicha('325','185')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/325-Modulo185.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/325-Modulo185.zip,
17,18,2012,18,325,Encuesta Nacional de Programas Presupuestales - ENAPRES,186,Inocuidad,,,,,"javascript:VerPreguntas('325','186','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','Inocuidad')","javascript:VerFicha('325','186')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/325-Modulo186.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/325-Modulo186.zip,
18,19,2012,18,325,Encuesta Nacional de Programas Presupuestales - ENAPRES,187,Servicios de Extensión Agraria,,,,,"javascript:VerPreguntas('325','187','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','Servicios+de+Extensi%F3n+Agraria')","javascript:VerFicha('325','187')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/325-Modulo187.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/325-Modulo187.zip,
19,20,2012,18,325,Encuesta Nacional de Programas Presupuestales - ENAPRES,188,Financiamiento,,,,,"javascript:VerPreguntas('325','188','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','Financiamiento')","javascript:VerFicha('325','188')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/325-Modulo188.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/325-Modulo188.zip,
20,21,2012,18,325,Encuesta Nacional de Programas Presupuestales - ENAPRES,189,Costos de Producción de la Actividad Agropecuaria,,,,,"javascript:VerPreguntas('325','189','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','Costos+de+Producci%F3n+de+la+Actividad+Agropecuaria')","javascript:VerFicha('325','189')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/325-Modulo189.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/325-Modulo189.zip,
0,1,2013,18,406,Encuesta Nacional de Programas Presupuestales - ENAPRES,415,CARACTERÍSTICAS DE LA VIVIENDA Y DEL HOGAR-URBANO Y RURAL,,,,,"javascript:VerPreguntas('406','415','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','CARACTER%CDSTICAS+DE+LA+VIVIENDA+Y+DEL+HOGAR%2DURBANO+Y+RURAL')","javascript:VerFicha('406','415')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/406-Modulo415.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/406-Modulo415.zip,
1,2,2013,18,406,Encuesta Nacional de Programas Presupuestales - ENAPRES,416,CARACTERÍSTICAS DE LOS RESIDENTES HABITUALES DEL HOGAR-URBANO Y RURAL,,,,,"javascript:VerPreguntas('406','416','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','CARACTER%CDSTICAS+DE+LOS+RESIDENTES+HABITUALES+DEL+HOGAR%2DURBANO+Y+RURAL')","javascript:VerFicha('406','416')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/406-Modulo416.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/406-Modulo416.zip,
2,3,2013,18,406,Encuesta Nacional de Programas Presupuestales - ENAPRES,417,SERVICIOS EDUCATIVOS BÁSICOS-URBANO Y RURAL,,,,,"javascript:VerPreguntas('406','417','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','SERVICIOS+EDUCATIVOS+B%C1SICOS%2DURBANO+Y+RURAL')","javascript:VerFicha('406','417')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/406-Modulo417.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/406-Modulo417.zip,
3,4,2013,18,406,Encuesta Nacional de Programas Presupuestales - ENAPRES,418,TELECOMUNICACIÓN-RURAL,,,,,"javascript:VerPreguntas('406','418','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','TELECOMUNICACI%D3N%2DRURAL')","javascript:VerFicha('406','418')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/406-Modulo418.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/406-Modulo418.zip,
4,5,2013,18,406,Encuesta Nacional de Programas Presupuestales - ENAPRES,419,SEGURIDAD CIUDADANA-URBANO,,,,,"javascript:VerPreguntas('406','419','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','SEGURIDAD+CIUDADANA%2DURBANO')","javascript:VerFicha('406','419')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/406-Modulo419.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/406-Modulo419.zip,
5,6,2013,18,406,Encuesta Nacional de Programas Presupuestales - ENAPRES,420,EMPLEO-URBANO Y RURAL,,,,,"javascript:VerPreguntas('406','420','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','EMPLEO%2DURBANO+Y+RURAL')","javascript:VerFicha('406','420')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/406-Modulo420.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/406-Modulo420.zip,
6,7,2013,18,406,Encuesta Nacional de Programas Presupuestales - ENAPRES,421,CARACTERÍSTICAS DE LA ACTIVIDAD Y LA EXPLOTACIÓN AGROPECUARIA 1,,,,,"javascript:VerPreguntas('406','421','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','CARACTER%CDSTICAS+DE+LA+ACTIVIDAD+Y+LA+EXPLOTACI%D3N+AGROPECUARIA++1')","javascript:VerFicha('406','421')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/406-Modulo421.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/406-Modulo421.zip,
7,8,2013,18,406,Encuesta Nacional de Programas Presupuestales - ENAPRES,422,CARACTERÍSTICAS DE LA ACTIVIDAD Y LA EXPLOTACIÓN AGROPECUARIA 2,,,,,"javascript:VerPreguntas('406','422','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','CARACTER%CDSTICAS+DE+LA+ACTIVIDAD+Y+LA+EXPLOTACI%D3N+AGROPECUARIA+2')","javascript:VerFicha('406','422')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/406-Modulo422.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/406-Modulo422.zip,
8,9,2013,18,406,Encuesta Nacional de Programas Presupuestales - ENAPRES,423,CULTIVOS COSECHADOS DE LA EXPLOTACIÓN AGROPECUARIA,,,,,"javascript:VerPreguntas('406','423','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','CULTIVOS+COSECHADOS+DE+LA+EXPLOTACI%D3N+AGROPECUARIA')","javascript:VerFicha('406','423')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/406-Modulo423.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/406-Modulo423.zip,
9,10,2013,18,406,Encuesta Nacional de Programas Presupuestales - ENAPRES,424,CARACTERÍSTICAS DE LOS CULTIVOS COSECHADOS,,,,,"javascript:VerPreguntas('406','424','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','CARACTER%CDSTICAS+DE+LOS+CULTIVOS+COSECHADOS')","javascript:VerFicha('406','424')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/406-Modulo424.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/406-Modulo424.zip,
10,11,2013,18,406,Encuesta Nacional de Programas Presupuestales - ENAPRES,425,BUENAS PRÁCTICAS AGRÍCOLAS,,,,,"javascript:VerPreguntas('406','425','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','BUENAS+PR%C1CTICAS+AGR%CDCOLAS')","javascript:VerFicha('406','425')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/406-Modulo425.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/406-Modulo425.zip,
11,12,2013,18,406,Encuesta Nacional de Programas Presupuestales - ENAPRES,426,PRODUCCIÓN DE LA ACTIVIDAD PECUARIA 1,,,,,"javascript:VerPreguntas('406','426','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','PRODUCCI%D3N+DE+LA+ACTIVIDAD+PECUARIA+1')","javascript:VerFicha('406','426')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/406-Modulo426.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/406-Modulo426.zip,
12,13,2013,18,406,Encuesta Nacional de Programas Presupuestales - ENAPRES,427,PRODUCCIÓN DE LA ACTIVIDAD PECUARIA 2,,,,,"javascript:VerPreguntas('406','427','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','PRODUCCI%D3N+DE+LA+ACTIVIDAD+PECUARIA+2')","javascript:VerFicha('406','427')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/406-Modulo427.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/406-Modulo427.zip,
13,14,2013,18,406,Encuesta Nacional de Programas Presupuestales - ENAPRES,428,BUENAS PRÁCTICAS PECUARIAS,,,,,"javascript:VerPreguntas('406','428','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','BUENAS+PR%C1CTICAS+PECUARIAS')","javascript:VerFicha('406','428')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/406-Modulo428.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/406-Modulo428.zip,
14,15,2013,18,406,Encuesta Nacional de Programas Presupuestales - ENAPRES,429,INOCUIDAD,,,,,"javascript:VerPreguntas('406','429','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','INOCUIDAD')","javascript:VerFicha('406','429')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/406-Modulo429.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/406-Modulo429.zip,
15,16,2013,18,406,Encuesta Nacional de Programas Presupuestales - ENAPRES,430,SERVICIOS DE EXTENSIÓN AGRARIA,,,,,"javascript:VerPreguntas('406','430','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','SERVICIOS+DE+EXTENSI%D3N++AGRARIA')","javascript:VerFicha('406','430')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/406-Modulo430.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/406-Modulo430.zip,
16,17,2013,18,406,Encuesta Nacional de Programas Presupuestales - ENAPRES,431,FINANCIAMIENTO,,,,,"javascript:VerPreguntas('406','431','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','FINANCIAMIENTO')","javascript:VerFicha('406','431')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/406-Modulo431.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/406-Modulo431.zip,
0,1,2014,18,438,Encuesta Nacional de Programas Presupuestales - ENAPRES,560,CAP 100: CARACTERISTICAS DEL HOGAR Y LA VIVIENDA (URBANO Y RURAL),,,,,"javascript:VerPreguntas('438','560','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','CAP+100%3A+CARACTERISTICAS+DEL+HOGAR+Y+LA+VIVIENDA+%28URBANO+Y+RURAL%29')","javascript:VerFicha('438','560')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/438-Modulo560.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/438-Modulo560.zip,
1,2,2014,18,438,Encuesta Nacional de Programas Presupuestales - ENAPRES,561,CAP 100AB: TV PERÚ - RADIO NACIONAL (URBANO Y RURAL),,,,,"javascript:VerPreguntas('438','561','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','CAP+100AB%3A+TV+PER%DA+%2D+RADIO+NACIONAL+%28URBANO+Y+RURAL%29')","javascript:VerFicha('438','561')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/438-Modulo561.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/438-Modulo561.zip,
2,3,2014,18,438,Encuesta Nacional de Programas Presupuestales - ENAPRES,562,CAP 200: CARACTERISTICAS DE LOS RESIDENTES HABITUALES DEL HOGAR (URBANO Y RURAL),,,,,"javascript:VerPreguntas('438','562','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','CAP+200%3A+CARACTERISTICAS+DE+LOS+RESIDENTES+HABITUALES+DEL+HOGAR+%28URBANO+Y+RURAL%29')","javascript:VerFicha('438','562')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/438-Modulo562.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/438-Modulo562.zip,
3,4,2014,18,438,Encuesta Nacional de Programas Presupuestales - ENAPRES,563,CAP 200A: CARACTERISTICAS MIGRATORIAS Y REMESAS DEL HOGAR (URBANO Y RURAL),,,,,"javascript:VerPreguntas('438','563','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','CAP+200A%3A+CARACTERISTICAS+MIGRATORIAS+Y+REMESAS+DEL+HOGAR+%28URBANO+Y+RURAL%29')","javascript:VerFicha('438','563')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/438-Modulo563.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/438-Modulo563.zip,
4,5,2014,18,438,Encuesta Nacional de Programas Presupuestales - ENAPRES,564,"CAP 300: DISCAPACIDAD, PROGRAMAS SOCIALES, EDUCACIÓN Y AUTOIDENTIFICACIÓN ÉTNICA (URBANO Y RURAL)",,,,,"javascript:VerPreguntas('438','564','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','CAP+300%3A+DISCAPACIDAD%2C+PROGRAMAS+SOCIALES%2C+EDUCACI%D3N+Y+AUTOIDENTIFICACI%D3N+%C9TNICA+%28URBANO+Y+RURAL%29')","javascript:VerFicha('438','564')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/438-Modulo564.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/438-Modulo564.zip,
5,6,2014,18,438,Encuesta Nacional de Programas Presupuestales - ENAPRES,565,CAP 500: TELECOMUNICACIÓN RURAL (RURAL),,,,,"javascript:VerPreguntas('438','565','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','CAP+500%3A+TELECOMUNICACI%D3N+RURAL+%28RURAL%29')","javascript:VerFicha('438','565')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/438-Modulo565.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/438-Modulo565.zip,
6,7,2014,18,438,Encuesta Nacional de Programas Presupuestales - ENAPRES,566,CAP 600: SEGURIDAD CIUDADANA (URBANO),,,,,"javascript:VerPreguntas('438','566','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','CAP+600%3A+SEGURIDAD+CIUDADANA+%28URBANO%29')","javascript:VerFicha('438','566')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/438-Modulo566.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/438-Modulo566.zip,
7,8,2014,18,438,Encuesta Nacional de Programas Presupuestales - ENAPRES,567,CAP 700: SALUD (URBANO Y RURAL),,,,,"javascript:VerPreguntas('438','567','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','CAP+700%3A+SALUD+%28URBANO+Y+RURAL%29')","javascript:VerFicha('438','567')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/438-Modulo567.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/438-Modulo567.zip,
8,9,2014,18,438,Encuesta Nacional de Programas Presupuestales - ENAPRES,568,"CAP 900: MEDIO AMBIENTE, EMERGENCIAS MÉDICAS Y EXPOSICIÓN A DESASTRES (URBANO)",,,,,"javascript:VerPreguntas('438','568','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','CAP+900%3A+MEDIO+AMBIENTE%2C+EMERGENCIAS+M%C9DICAS+Y+EXPOSICI%D3N+A+DESASTRES+%28URBANO%29')","javascript:VerFicha('438','568')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/438-Modulo568.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/438-Modulo568.zip,
