,Nro,Año,Período,Código Encuesta,Encuesta,Código Módulo,Módulo,Ficha,Descargar,Descargar.1,Descargar.2,VerPreguntas,VerFicha,SPSS,STATA,CSV,DBF
1,2,2006,5,183,Encuesta Demográfica y de Salud Familiar - ENDES,65,Caracteristicas de la Vivienda,,,,,"javascript:VerPreguntas('183','65','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Caracteristicas+de+la+Vivienda')","javascript:VerFicha('183','65')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/183-Modulo65.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/183-Modulo65.zip
2,3,2006,5,183,Encuesta Demográfica y de Salud Familiar - ENDES,66,Datos Basicos de MEF,,,,,"javascript:VerPreguntas('183','66','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Datos+Basicos+de+MEF')","javascript:VerFicha('183','66')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/183-Modulo66.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/183-Modulo66.zip
3,4,2006,5,183,Encuesta Demográfica y de Salud Familiar - ENDES,67,Historia de Nacimiento - Tabla de Conocimiento de Metodo,,,,,"javascript:VerPreguntas('183','67','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Historia+de+Nacimiento+%2D+Tabla+de+Conocimiento+de+Metodo')","javascript:VerFicha('183','67')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/183-Modulo67.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/183-Modulo67.zip
4,5,2006,5,183,Encuesta Demográfica y de Salud Familiar - ENDES,69,"Embarazo, Parto, Puerperio y Lactancia",,,,,"javascript:VerPreguntas('183','69','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Embarazo%2C+Parto%2C+Puerperio+y+Lactancia')","javascript:VerFicha('183','69')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/183-Modulo69.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/183-Modulo69.zip
5,6,2006,5,183,Encuesta Demográfica y de Salud Familiar - ENDES,70,Inmunización y Salud,,,,,"javascript:VerPreguntas('183','70','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Inmunizaci%F3n+y+Salud')","javascript:VerFicha('183','70')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/183-Modulo70.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/183-Modulo70.zip
6,7,2006,5,183,Encuesta Demográfica y de Salud Familiar - ENDES,71,Nupcialidad - Fecundidad - Cónyugue y Mujer,,,,,"javascript:VerPreguntas('183','71','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Nupcialidad+%2D+Fecundidad+%2D+C%F3nyugue+y+Mujer')","javascript:VerFicha('183','71')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/183-Modulo71.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/183-Modulo71.zip
7,8,2006,5,183,Encuesta Demográfica y de Salud Familiar - ENDES,72,Conocimiento de Sida y uso del condón,,,,,"javascript:VerPreguntas('183','72','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Conocimiento+de+Sida+y+uso+del+cond%F3n')","javascript:VerFicha('183','72')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/183-Modulo72.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/183-Modulo72.zip
8,9,2006,5,183,Encuesta Demográfica y de Salud Familiar - ENDES,73,Mortalidad Materna - Violencia Familiar,,,,,"javascript:VerPreguntas('183','73','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Mortalidad+Materna+%2D+Violencia+Familiar')","javascript:VerFicha('183','73')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/183-Modulo73.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/183-Modulo73.zip
9,10,2006,5,183,Encuesta Demográfica y de Salud Familiar - ENDES,74,Peso y talla - Anemia,,,,,"javascript:VerPreguntas('183','74','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Peso+y+talla+%2D+Anemia')","javascript:VerFicha('183','74')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/183-Modulo74.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/183-Modulo74.zip
0,1,2007,5,194,Encuesta Demográfica y de Salud Familiar - ENDES,64,Caracteristicas del Hogar,,,,,"javascript:VerPreguntas('194','64','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Caracteristicas+del+Hogar')","javascript:VerFicha('194','64')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/194-Modulo64.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/194-Modulo64.zip
1,2,2007,5,194,Encuesta Demográfica y de Salud Familiar - ENDES,65,Caracteristicas de la Vivienda,,,,,"javascript:VerPreguntas('194','65','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Caracteristicas+de+la+Vivienda')","javascript:VerFicha('194','65')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/194-Modulo65.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/194-Modulo65.zip
2,3,2007,5,194,Encuesta Demográfica y de Salud Familiar - ENDES,66,Datos Basicos de MEF,,,,,"javascript:VerPreguntas('194','66','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Datos+Basicos+de+MEF')","javascript:VerFicha('194','66')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/194-Modulo66.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/194-Modulo66.zip
3,4,2007,5,194,Encuesta Demográfica y de Salud Familiar - ENDES,67,Historia de Nacimiento - Tabla de Conocimiento de Metodo,,,,,"javascript:VerPreguntas('194','67','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Historia+de+Nacimiento+%2D+Tabla+de+Conocimiento+de+Metodo')","javascript:VerFicha('194','67')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/194-Modulo67.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/194-Modulo67.zip
4,5,2007,5,194,Encuesta Demográfica y de Salud Familiar - ENDES,69,"Embarazo, Parto, Puerperio y Lactancia",,,,,"javascript:VerPreguntas('194','69','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Embarazo%2C+Parto%2C+Puerperio+y+Lactancia')","javascript:VerFicha('194','69')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/194-Modulo69.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/194-Modulo69.zip
5,6,2007,5,194,Encuesta Demográfica y de Salud Familiar - ENDES,70,Inmunización y Salud,,,,,"javascript:VerPreguntas('194','70','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Inmunizaci%F3n+y+Salud')","javascript:VerFicha('194','70')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/194-Modulo70.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/194-Modulo70.zip
6,7,2007,5,194,Encuesta Demográfica y de Salud Familiar - ENDES,71,Nupcialidad - Fecundidad - Cónyugue y Mujer,,,,,"javascript:VerPreguntas('194','71','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Nupcialidad+%2D+Fecundidad+%2D+C%F3nyugue+y+Mujer')","javascript:VerFicha('194','71')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/194-Modulo71.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/194-Modulo71.zip
7,8,2007,5,194,Encuesta Demográfica y de Salud Familiar - ENDES,72,Conocimiento de Sida y uso del condón,,,,,"javascript:VerPreguntas('194','72','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Conocimiento+de+Sida+y+uso+del+cond%F3n')","javascript:VerFicha('194','72')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/194-Modulo72.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/194-Modulo72.zip
8,9,2007,5,194,Encuesta Demográfica y de Salud Familiar - ENDES,73,Mortalidad Materna - Violencia Familiar,,,,,"javascript:VerPreguntas('194','73','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Mortalidad+Materna+%2D+Violencia+Familiar')","javascript:VerFicha('194','73')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/194-Modulo73.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/194-Modulo73.zip
9,10,2007,5,194,Encuesta Demográfica y de Salud Familiar - ENDES,74,Peso y talla - Anemia,,,,,"javascript:VerPreguntas('194','74','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Peso+y+talla+%2D+Anemia')","javascript:VerFicha('194','74')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/194-Modulo74.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/194-Modulo74.zip
0,1,2008,51,209,Encuesta Demográfica y de Salud Familiar - ENDES,64,Caracteristicas del Hogar,,,,,"javascript:VerPreguntas('209','64','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Caracteristicas+del+Hogar')","javascript:VerFicha('209','64')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/209-Modulo64.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/209-Modulo64.zip
1,2,2008,51,209,Encuesta Demográfica y de Salud Familiar - ENDES,65,Caracteristicas de la Vivienda,,,,,"javascript:VerPreguntas('209','65','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Caracteristicas+de+la+Vivienda')","javascript:VerFicha('209','65')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/209-Modulo65.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/209-Modulo65.zip
2,3,2008,51,209,Encuesta Demográfica y de Salud Familiar - ENDES,66,Datos Basicos de MEF,,,,,"javascript:VerPreguntas('209','66','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Datos+Basicos+de+MEF')","javascript:VerFicha('209','66')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/209-Modulo66.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/209-Modulo66.zip
3,4,2008,51,209,Encuesta Demográfica y de Salud Familiar - ENDES,67,Historia de Nacimiento - Tabla de Conocimiento de Metodo,,,,,"javascript:VerPreguntas('209','67','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Historia+de+Nacimiento+%2D+Tabla+de+Conocimiento+de+Metodo')","javascript:VerFicha('209','67')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/209-Modulo67.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/209-Modulo67.zip
4,5,2008,51,209,Encuesta Demográfica y de Salud Familiar - ENDES,69,"Embarazo, Parto, Puerperio y Lactancia",,,,,"javascript:VerPreguntas('209','69','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Embarazo%2C+Parto%2C+Puerperio+y+Lactancia')","javascript:VerFicha('209','69')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/209-Modulo69.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/209-Modulo69.zip
5,6,2008,51,209,Encuesta Demográfica y de Salud Familiar - ENDES,70,Inmunización y Salud,,,,,"javascript:VerPreguntas('209','70','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Inmunizaci%F3n+y+Salud')","javascript:VerFicha('209','70')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/209-Modulo70.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/209-Modulo70.zip
6,7,2008,51,209,Encuesta Demográfica y de Salud Familiar - ENDES,71,Nupcialidad - Fecundidad - Cónyugue y Mujer,,,,,"javascript:VerPreguntas('209','71','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Nupcialidad+%2D+Fecundidad+%2D+C%F3nyugue+y+Mujer')","javascript:VerFicha('209','71')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/209-Modulo71.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/209-Modulo71.zip
7,8,2008,51,209,Encuesta Demográfica y de Salud Familiar - ENDES,72,Conocimiento de Sida y uso del condón,,,,,"javascript:VerPreguntas('209','72','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Conocimiento+de+Sida+y+uso+del+cond%F3n')","javascript:VerFicha('209','72')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/209-Modulo72.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/209-Modulo72.zip
8,9,2008,51,209,Encuesta Demográfica y de Salud Familiar - ENDES,73,Mortalidad Materna - Violencia Familiar,,,,,"javascript:VerPreguntas('209','73','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Mortalidad+Materna+%2D+Violencia+Familiar')","javascript:VerFicha('209','73')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/209-Modulo73.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/209-Modulo73.zip
9,10,2008,51,209,Encuesta Demográfica y de Salud Familiar - ENDES,74,Peso y talla - Anemia,,,,,"javascript:VerPreguntas('209','74','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Peso+y+talla+%2D+Anemia')","javascript:VerFicha('209','74')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/209-Modulo74.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/209-Modulo74.zip
0,1,2009,5,238,Encuesta Demográfica y de Salud Familiar - ENDES,64,Caracteristicas del Hogar,,,,,"javascript:VerPreguntas('238','64','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Caracteristicas+del+Hogar')","javascript:VerFicha('238','64')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/238-Modulo64.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/238-Modulo64.zip
1,2,2009,5,238,Encuesta Demográfica y de Salud Familiar - ENDES,65,Caracteristicas de la Vivienda,,,,,"javascript:VerPreguntas('238','65','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Caracteristicas+de+la+Vivienda')","javascript:VerFicha('238','65')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/238-Modulo65.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/238-Modulo65.zip
2,3,2009,5,238,Encuesta Demográfica y de Salud Familiar - ENDES,66,Datos Basicos de MEF,,,,,"javascript:VerPreguntas('238','66','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Datos+Basicos+de+MEF')","javascript:VerFicha('238','66')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/238-Modulo66.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/238-Modulo66.zip
3,4,2009,5,238,Encuesta Demográfica y de Salud Familiar - ENDES,67,Historia de Nacimiento - Tabla de Conocimiento de Metodo,,,,,"javascript:VerPreguntas('238','67','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Historia+de+Nacimiento+%2D+Tabla+de+Conocimiento+de+Metodo')","javascript:VerFicha('238','67')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/238-Modulo67.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/238-Modulo67.zip
4,5,2009,5,238,Encuesta Demográfica y de Salud Familiar - ENDES,69,"Embarazo, Parto, Puerperio y Lactancia",,,,,"javascript:VerPreguntas('238','69','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Embarazo%2C+Parto%2C+Puerperio+y+Lactancia')","javascript:VerFicha('238','69')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/238-Modulo69.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/238-Modulo69.zip
5,6,2009,5,238,Encuesta Demográfica y de Salud Familiar - ENDES,70,Inmunización y Salud,,,,,"javascript:VerPreguntas('238','70','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Inmunizaci%F3n+y+Salud')","javascript:VerFicha('238','70')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/238-Modulo70.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/238-Modulo70.zip
6,7,2009,5,238,Encuesta Demográfica y de Salud Familiar - ENDES,71,Nupcialidad - Fecundidad - Cónyugue y Mujer,,,,,"javascript:VerPreguntas('238','71','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Nupcialidad+%2D+Fecundidad+%2D+C%F3nyugue+y+Mujer')","javascript:VerFicha('238','71')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/238-Modulo71.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/238-Modulo71.zip
7,8,2009,5,238,Encuesta Demográfica y de Salud Familiar - ENDES,72,Conocimiento de Sida y uso del condón,,,,,"javascript:VerPreguntas('238','72','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Conocimiento+de+Sida+y+uso+del+cond%F3n')","javascript:VerFicha('238','72')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/238-Modulo72.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/238-Modulo72.zip
8,9,2009,5,238,Encuesta Demográfica y de Salud Familiar - ENDES,73,Mortalidad Materna - Violencia Familiar,,,,,"javascript:VerPreguntas('238','73','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Mortalidad+Materna+%2D+Violencia+Familiar')","javascript:VerFicha('238','73')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/238-Modulo73.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/238-Modulo73.zip
9,10,2009,5,238,Encuesta Demográfica y de Salud Familiar - ENDES,74,Peso y talla - Anemia,,,,,"javascript:VerPreguntas('238','74','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Peso+y+talla+%2D+Anemia')","javascript:VerFicha('238','74')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/238-Modulo74.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/238-Modulo74.zip
0,1,2010,5,260,Encuesta Demográfica y de Salud Familiar - ENDES,64,Caracteristicas del Hogar,,,,,"javascript:VerPreguntas('260','64','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Caracteristicas+del+Hogar')","javascript:VerFicha('260','64')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/260-Modulo64.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/260-Modulo64.zip
1,2,2010,5,260,Encuesta Demográfica y de Salud Familiar - ENDES,65,Caracteristicas de la Vivienda,,,,,"javascript:VerPreguntas('260','65','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Caracteristicas+de+la+Vivienda')","javascript:VerFicha('260','65')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/260-Modulo65.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/260-Modulo65.zip
2,3,2010,5,260,Encuesta Demográfica y de Salud Familiar - ENDES,66,Datos Basicos de MEF,,,,,"javascript:VerPreguntas('260','66','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Datos+Basicos+de+MEF')","javascript:VerFicha('260','66')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/260-Modulo66.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/260-Modulo66.zip
3,4,2010,5,260,Encuesta Demográfica y de Salud Familiar - ENDES,67,Historia de Nacimiento - Tabla de Conocimiento de Metodo,,,,,"javascript:VerPreguntas('260','67','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Historia+de+Nacimiento+%2D+Tabla+de+Conocimiento+de+Metodo')","javascript:VerFicha('260','67')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/260-Modulo67.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/260-Modulo67.zip
4,5,2010,5,260,Encuesta Demográfica y de Salud Familiar - ENDES,69,"Embarazo, Parto, Puerperio y Lactancia",,,,,"javascript:VerPreguntas('260','69','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Embarazo%2C+Parto%2C+Puerperio+y+Lactancia')","javascript:VerFicha('260','69')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/260-Modulo69.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/260-Modulo69.zip
5,6,2010,5,260,Encuesta Demográfica y de Salud Familiar - ENDES,70,Inmunización y Salud,,,,,"javascript:VerPreguntas('260','70','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Inmunizaci%F3n+y+Salud')","javascript:VerFicha('260','70')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/260-Modulo70.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/260-Modulo70.zip
6,7,2010,5,260,Encuesta Demográfica y de Salud Familiar - ENDES,71,Nupcialidad - Fecundidad - Cónyugue y Mujer,,,,,"javascript:VerPreguntas('260','71','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Nupcialidad+%2D+Fecundidad+%2D+C%F3nyugue+y+Mujer')","javascript:VerFicha('260','71')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/260-Modulo71.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/260-Modulo71.zip
7,8,2010,5,260,Encuesta Demográfica y de Salud Familiar - ENDES,72,Conocimiento de Sida y uso del condón,,,,,"javascript:VerPreguntas('260','72','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Conocimiento+de+Sida+y+uso+del+cond%F3n')","javascript:VerFicha('260','72')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/260-Modulo72.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/260-Modulo72.zip
8,9,2010,5,260,Encuesta Demográfica y de Salud Familiar - ENDES,73,Mortalidad Materna - Violencia Familiar,,,,,"javascript:VerPreguntas('260','73','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Mortalidad+Materna+%2D+Violencia+Familiar')","javascript:VerFicha('260','73')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/260-Modulo73.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/260-Modulo73.zip
9,10,2010,5,260,Encuesta Demográfica y de Salud Familiar - ENDES,74,Peso y talla - Anemia,,,,,"javascript:VerPreguntas('260','74','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Peso+y+talla+%2D+Anemia')","javascript:VerFicha('260','74')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/260-Modulo74.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/260-Modulo74.zip
0,1,2011,5,290,Encuesta Demográfica y de Salud Familiar - ENDES,64,Caracteristicas del Hogar,,,,,"javascript:VerPreguntas('290','64','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Caracteristicas+del+Hogar')","javascript:VerFicha('290','64')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/290-Modulo64.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/290-Modulo64.zip
1,2,2011,5,290,Encuesta Demográfica y de Salud Familiar - ENDES,65,Caracteristicas de la Vivienda,,,,,"javascript:VerPreguntas('290','65','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Caracteristicas+de+la+Vivienda')","javascript:VerFicha('290','65')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/290-Modulo65.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/290-Modulo65.zip
2,3,2011,5,290,Encuesta Demográfica y de Salud Familiar - ENDES,66,Datos Basicos de MEF,,,,,"javascript:VerPreguntas('290','66','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Datos+Basicos+de+MEF')","javascript:VerFicha('290','66')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/290-Modulo66.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/290-Modulo66.zip
3,4,2011,5,290,Encuesta Demográfica y de Salud Familiar - ENDES,67,Historia de Nacimiento - Tabla de Conocimiento de Metodo,,,,,"javascript:VerPreguntas('290','67','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Historia+de+Nacimiento+%2D+Tabla+de+Conocimiento+de+Metodo')","javascript:VerFicha('290','67')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/290-Modulo67.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/290-Modulo67.zip
4,5,2011,5,290,Encuesta Demográfica y de Salud Familiar - ENDES,69,"Embarazo, Parto, Puerperio y Lactancia",,,,,"javascript:VerPreguntas('290','69','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Embarazo%2C+Parto%2C+Puerperio+y+Lactancia')","javascript:VerFicha('290','69')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/290-Modulo69.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/290-Modulo69.zip
5,6,2011,5,290,Encuesta Demográfica y de Salud Familiar - ENDES,70,Inmunización y Salud,,,,,"javascript:VerPreguntas('290','70','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Inmunizaci%F3n+y+Salud')","javascript:VerFicha('290','70')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/290-Modulo70.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/290-Modulo70.zip
6,7,2011,5,290,Encuesta Demográfica y de Salud Familiar - ENDES,71,Nupcialidad - Fecundidad - Cónyugue y Mujer,,,,,"javascript:VerPreguntas('290','71','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Nupcialidad+%2D+Fecundidad+%2D+C%F3nyugue+y+Mujer')","javascript:VerFicha('290','71')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/290-Modulo71.zip,,,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/290-Modulo71.zip
